学号,编程年份,国家级一等奖,国家级二等奖,国家级三等奖,国家级优秀奖,省部级一等奖,省部级二等奖,省部级三等奖,省部级优秀奖,OJ提交数,OJ正确数,OJ准确率,cfRating,cfTimes,all_cf_aftersolve,correct_cf_aftersolve,获奖类别
2013014153,0,0,0,0,0,0,0,0,0,355,205,0.5774647887323944,0,0,0,0,9
2012014390,4,0,0,0,0,0,0,0,0,471,226,0.4798301486199576,0,0,0,0,9
2015017001,0,0,0,0,0,0,0,0,0,372,230,0.6182795698924731,0,0,0,0,9
2018040528,1,0,0,0,0,0,0,0,0,112,52,0.4642857142857143,0,0,0,0,9
2013014127,2,0,0,0,0,0,0,0,0,437,189,0.43249427917620137,0,0,0,0,9
2012014374,4,0,0,0,0,0,0,0,0,364,198,0.5439560439560439,0,0,0,0,9
2018040501,4,0,0,0,0,0,0,0,0,195,92,0.4717948717948718,0,0,0,0,9
2018040513,0,0,0,0,0,0,0,0,0,83,41,0.4939759036144578,1281,7,0,0,9
2019040462,1,0,0,0,0,0,0,0,0,2,2,1.0,1065,4,0,0,9
2016014420,0,0,0,0,0,0,0,0,0,42,15,0.35714285714285715,0,0,0,0,9
2013014186,1,0,0,0,0,0,0,0,0,392,167,0.4260204081632653,0,0,0,0,9
2013014144,0,0,0,0,0,0,0,0,0,307,163,0.5309446254071661,0,0,0,0,9
2018040391,2,0,0,0,0,0,0,0,0,74,30,0.40540540540540543,0,0,0,0,9
2016014302,3,0,0,0,0,0,0,0,0,198,106,0.5353535353535354,0,0,0,0,9
2014014323,2,0,0,0,0,0,0,0,0,279,126,0.4516129032258064,0,0,0,0,9
2014014306,3,0,0,0,0,0,0,0,0,378,152,0.4021164021164021,0,0,0,0,9
2016014343,0,0,0,0,0,0,0,0,0,176,72,0.4090909090909091,0,0,0,0,9
2013014124,2,0,0,0,0,0,0,0,0,510,225,0.4411764705882353,0,0,0,0,9
2018040466,3,0,0,0,0,0,0,0,0,99,54,0.5454545454545454,0,0,0,0,9
2014014364,4,0,0,0,0,0,0,0,0,646,178,0.2755417956656347,0,0,0,0,9
2018040397,1,0,0,0,0,0,0,0,0,69,29,0.42028985507246375,1247,5,40,7,9
2018040469,4,0,0,0,0,0,0,0,0,17,7,0.4117647058823529,0,0,0,0,9
2013014181,0,0,0,0,0,0,0,0,0,310,166,0.535483870967742,0,0,0,0,9
2013014094,0,0,0,0,0,0,0,0,0,284,146,0.5140845070422535,0,0,0,0,9
2013014170,4,0,0,0,0,0,0,0,0,212,128,0.6037735849056604,0,0,0,0,9
2013014139,3,0,0,0,0,0,0,0,0,434,180,0.4147465437788018,0,0,0,0,9
2014014308,1,0,0,0,0,0,0,0,0,227,105,0.4625550660792952,0,0,0,0,9
2018040499,3,0,0,0,0,0,0,0,0,126,61,0.4841269841269841,0,0,0,0,9
2013014173,2,0,0,0,0,0,0,0,0,225,132,0.5866666666666667,0,0,0,0,9
2018040502,3,0,0,0,0,0,0,0,0,114,66,0.5789473684210527,0,0,0,0,9
2012014362,2,0,0,0,0,0,0,0,0,316,168,0.5316455696202531,0,0,0,0,9
2017040367,1,0,0,0,0,0,0,0,0,39,11,0.28205128205128205,0,0,0,0,9
2013014105,2,0,0,0,0,0,0,0,0,245,114,0.4653061224489796,0,0,0,0,9
2018040534,3,0,0,0,0,0,0,0,0,150,61,0.4066666666666667,0,0,0,0,9
2015014900,1,0,0,0,0,0,0,0,0,452,199,0.4402654867256637,0,0,0,0,9
2013014212,4,0,0,0,0,0,0,0,0,159,107,0.6729559748427673,0,0,0,0,9
2018040422,4,0,0,0,0,0,0,0,0,24,14,0.5833333333333334,0,0,0,0,9
2015014357,2,0,0,0,0,0,0,0,0,170,82,0.4823529411764706,0,0,0,0,9
2016014577,2,0,0,0,0,0,0,0,0,10,2,0.2,0,0,0,0,9
2017040256,2,0,0,0,0,0,0,0,0,32,17,0.53125,1383,1,0,0,9
2018040507,4,0,0,0,0,0,0,0,0,62,30,0.4838709677419355,0,0,0,0,9
2019040422,1,0,0,0,0,0,0,0,0,7,6,0.8571428571428571,0,0,0,0,9
2018040525,0,0,0,0,0,0,0,0,0,79,51,0.6455696202531646,0,0,0,0,9
2015014178,0,0,0,0,0,0,0,0,0,101,59,0.5841584158415841,0,0,0,0,9
2018040481,4,0,0,0,0,0,0,0,0,13,9,0.6923076923076923,0,0,0,0,9
2018040495,0,0,0,0,0,0,0,0,0,110,51,0.4636363636363636,0,0,0,0,9
2018040515,1,0,0,0,0,0,0,0,0,121,67,0.5537190082644629,0,0,0,0,9
2013014160,3,0,0,0,0,0,0,0,0,189,95,0.5026455026455027,0,0,0,0,9
2018170056,1,0,0,0,0,0,0,0,0,125,28,0.22399999999999998,0,0,0,0,9
2013014102,4,0,0,0,0,0,0,0,0,148,101,0.6824324324324325,0,0,0,0,9
2015014303,0,0,0,0,0,0,0,0,0,155,79,0.5096774193548387,0,0,0,0,9
2016016464,4,0,0,0,0,0,0,0,0,125,79,0.632,0,0,0,0,9
2013014093,2,0,0,0,0,0,0,0,0,304,111,0.3651315789473684,0,0,0,0,9
2012014379,1,0,0,0,0,0,0,0,0,272,145,0.5330882352941176,0,0,0,0,9
2018040512,4,0,0,0,0,0,0,0,0,21,11,0.5238095238095238,0,0,0,0,9
2013014103,3,0,0,0,0,0,0,0,0,167,93,0.5568862275449101,0,0,0,0,9
2015014400,2,0,0,0,0,0,0,0,0,128,59,0.4609375,0,0,0,0,9
2016014376,1,0,0,0,0,0,0,0,0,104,57,0.5480769230769231,0,0,0,0,9
2016013057,3,0,0,0,0,0,0,0,0,33,14,0.42424242424242425,0,0,0,0,9
2014014128,2,0,0,0,0,0,0,0,0,240,176,0.7333333333333333,0,0,0,0,9
2016012148,3,0,0,0,0,0,0,0,0,78,34,0.4358974358974359,0,0,0,0,9
2014014311,3,0,0,0,0,0,0,0,0,127,66,0.5196850393700787,0,0,0,0,9
2013014107,3,0,0,0,0,0,0,0,0,170,97,0.5705882352941176,0,0,0,0,9
2015011170,1,0,0,0,0,0,0,0,0,217,119,0.5483870967741935,0,0,0,0,9
2013014248,0,0,0,0,0,0,0,0,0,140,80,0.5714285714285714,0,0,0,0,9
2018040483,4,0,0,0,0,0,0,0,0,54,22,0.4074074074074074,1319,4,11,3,9
2014014290,1,0,0,0,0,0,0,0,0,122,72,0.5901639344262295,0,0,0,0,9
2015014368,1,0,0,0,0,0,0,0,0,130,73,0.5615384615384615,0,0,0,0,9
2018040396,1,0,0,0,0,0,0,0,0,18,14,0.7777777777777778,0,0,0,0,9
2018040442,1,0,0,0,0,0,0,0,0,62,23,0.3709677419354839,0,0,0,0,9
2018040492,2,0,0,0,0,0,0,0,0,121,53,0.4380165289256198,0,0,0,0,9
2015014367,0,0,0,0,0,0,0,0,0,94,64,0.6808510638297872,0,0,0,0,9
2012014356,4,0,0,0,0,0,0,0,0,223,140,0.6278026905829597,0,0,0,0,9
2015014366,4,0,0,0,0,0,0,0,0,112,59,0.5267857142857143,0,0,0,0,9
2013014092,3,0,0,0,0,0,0,0,0,193,77,0.39896373056994816,0,0,0,0,9
2013014211,3,0,0,0,0,0,0,0,0,145,85,0.5862068965517241,0,0,0,0,9
2013014164,2,0,0,0,0,0,0,0,0,172,96,0.5581395348837209,0,0,0,0,9
2016016469,0,0,0,0,0,0,0,0,0,44,14,0.3181818181818182,0,0,0,0,9
2013014157,4,0,0,0,0,0,0,0,0,134,71,0.5298507462686567,0,0,0,0,9
2016014467,1,0,0,0,0,0,0,0,0,85,25,0.29411764705882354,0,0,0,0,9
2012014380,1,0,0,0,0,0,0,0,0,230,126,0.5478260869565217,0,0,0,0,9
2013014224,0,0,0,0,0,0,0,0,0,212,84,0.3962264150943397,0,0,0,0,9
2018040392,1,0,0,0,0,0,0,0,0,31,10,0.3225806451612903,0,0,0,0,9
2018040529,2,0,0,0,0,0,0,0,0,61,28,0.459016393442623,0,0,0,0,9
2013014097,1,0,0,0,0,0,0,0,0,191,104,0.5445026178010471,0,0,0,0,9
2015016312,0,0,0,0,0,0,0,0,0,137,68,0.4963503649635037,0,0,0,0,9
2017040334,4,0,0,0,0,0,0,0,0,31,17,0.5483870967741935,0,0,0,0,9
2012014372,4,0,0,0,0,0,0,0,0,239,126,0.5271966527196653,0,0,0,0,9
2017040268,3,0,0,0,0,0,0,0,0,40,27,0.675,0,0,0,0,9
2013014249,1,0,0,0,0,0,0,0,0,92,63,0.6847826086956522,0,0,0,0,9
2018040439,1,0,0,0,0,0,0,0,0,20,9,0.45,0,0,0,0,9
2017040305,1,0,0,0,0,0,0,0,0,33,18,0.5454545454545454,0,0,0,0,9
2015014306,4,0,0,0,0,0,0,0,0,113,53,0.4690265486725664,0,0,0,0,9
2013014095,2,0,0,0,0,0,0,0,0,270,100,0.3703703703703704,0,0,0,0,9
2018040476,4,0,0,0,0,0,0,0,0,97,49,0.5051546391752577,0,0,0,0,9
2013014247,4,0,0,0,0,0,0,0,0,158,80,0.5063291139240507,0,0,0,0,9
2015014299,2,0,0,0,0,0,0,0,0,84,55,0.6547619047619048,0,0,0,0,9
2013014156,1,0,0,0,0,0,0,0,0,340,100,0.29411764705882354,0,0,0,0,9
2018040370,1,0,0,0,0,0,0,0,0,14,9,0.6428571428571429,0,0,0,0,9
2018040414,3,0,0,0,0,0,0,0,0,7,1,0.14285714285714285,0,0,0,0,9
2017040393,3,0,0,0,0,0,0,0,0,36,30,0.8333333333333334,0,0,0,0,9
2015015074,4,0,0,0,0,0,0,0,0,104,59,0.5673076923076923,0,0,0,0,9
2018040407,0,0,0,0,0,0,0,0,0,28,14,0.5,1423,2,2,1,9
2018040394,2,0,0,0,0,0,0,0,0,3,2,0.6666666666666666,0,0,0,0,9
2013014106,0,0,0,0,0,0,0,0,0,186,89,0.478494623655914,0,0,0,0,9
2016016499,0,0,0,0,0,0,0,0,0,147,76,0.5170068027210885,0,0,0,0,9
2013014215,0,0,0,0,0,0,0,0,0,191,87,0.4554973821989529,0,0,0,0,9
2018040428,0,0,0,0,0,0,0,0,0,31,12,0.3870967741935484,0,0,0,0,9
2018040531,3,0,0,0,0,0,0,0,0,171,54,0.3157894736842105,0,0,0,0,9
2013014122,0,0,0,0,0,0,0,0,0,152,79,0.5197368421052632,0,0,0,0,9
2013014176,0,0,0,0,0,0,0,0,0,224,108,0.4821428571428572,0,0,0,0,9
2016013063,2,0,0,0,0,0,0,0,0,3,0,0.0,0,0,0,0,9
2012014396,0,0,0,0,0,0,0,0,0,209,117,0.5598086124401914,0,0,0,0,9
2012014358,2,0,0,0,0,0,0,0,0,248,120,0.4838709677419355,0,0,0,0,9
2015014330,1,0,0,0,0,0,0,0,0,142,73,0.5140845070422535,0,0,0,0,9
2018170044,2,0,0,0,0,0,0,0,0,3,2,0.6666666666666666,0,0,0,0,9
2018040522,0,0,0,0,0,0,0,0,0,57,32,0.5614035087719298,0,0,0,0,9
2017040338,3,0,0,0,0,0,0,0,0,12,8,0.6666666666666666,0,0,0,0,9
2012014290,0,0,0,0,0,0,0,0,0,187,110,0.5882352941176471,0,0,0,0,9
2013014159,0,0,0,0,0,0,0,0,0,133,71,0.5338345864661654,0,0,0,0,9
2012014360,0,0,0,0,0,0,0,0,0,179,96,0.5363128491620112,0,0,0,0,9
2014014288,1,0,0,0,0,0,0,0,0,70,47,0.6714285714285714,0,0,0,0,9
2017040322,3,0,0,0,0,0,0,0,0,24,21,0.875,1214,8,5,4,9
2014014296,4,0,0,0,0,0,0,0,0,117,44,0.3760683760683761,0,0,0,0,9
2017040375,3,0,0,0,0,0,0,0,0,1,0,0.0,1279,10,1,1,9
2015013026,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,9
2013014129,3,0,0,0,0,0,0,0,0,143,97,0.6783216783216783,0,0,0,0,9
2016014406,4,0,0,0,0,0,0,0,0,33,15,0.4545454545454545,0,0,0,0,9
2018040509,3,0,0,0,0,0,0,0,0,24,12,0.5,0,0,0,0,9
2014014284,2,0,0,0,0,0,0,0,0,142,46,0.323943661971831,0,0,0,0,9
2015014414,1,0,0,0,0,0,0,0,0,55,39,0.7090909090909091,0,0,0,0,9
2018040432,4,0,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,9
2013014098,3,0,0,0,0,0,0,0,0,184,81,0.44021739130434784,0,0,0,0,9
2013014238,2,0,0,0,0,0,0,0,0,88,58,0.6590909090909091,0,0,0,0,9
2013014183,3,0,0,0,0,0,0,0,0,135,85,0.6296296296296297,0,0,0,0,9
2014014372,2,0,0,0,0,0,0,0,0,236,92,0.3898305084745763,0,0,0,0,9
2012014325,2,0,0,0,0,0,0,0,0,164,108,0.6585365853658537,0,0,0,0,9
2013014147,0,0,0,0,0,0,0,0,0,150,87,0.58,0,0,0,0,9
2013014125,0,0,0,0,0,0,0,0,0,155,90,0.5806451612903226,0,0,0,0,9
2018040354,0,0,0,0,0,0,0,0,0,12,6,0.5,0,0,0,0,9
